Date,Open,High,Low,Close,Adj Close,Volume
2006-11-01,69.686996,75.069717,66.539070,74.901512,63.499786,60637300
2006-12-01,74.925537,75.285988,69.350578,72.114029,61.455482,44425000
2007-01-01,72.210152,78.385857,67.500267,77.616898,66.476944,79802800
2007-02-01,78.193619,86.628151,77.064209,80.284233,69.125206,85755100
2007-03-01,78.602127,83.047684,75.958832,81.461700,70.138985,83913800
2007-04-01,81.894241,87.709503,80.812889,85.282471,73.428696,78264200
2007-05-01,85.642921,99.844650,82.639168,99.195839,85.408180,146670900
2007-06-01,99.484200,103.088699,90.929520,97.393593,84.268570,89816600
2007-07-01,97.754044,117.194313,89.511749,91.794601,79.424103,223421500
2007-08-01,90.833397,92.347290,72.690750,87.781593,75.951912,175767500
2007-09-01,87.349052,94.918503,79.851692,94.005363,81.700531,98266700
2007-10-01,94.029388,97.802101,88.142036,95.134773,82.682106,108493000
2007-11-01,94.221626,94.558052,82.951561,87.397110,76.286674,97078000
2007-12-01,87.661438,91.265938,79.827660,87.829651,76.664223,71992700
2008-01-01,87.613380,88.382339,64.136070,79.515266,69.406784,143849800
2008-02-01,80.909012,95.206863,76.655701,89.247421,77.901764,114453800
2008-03-01,89.319511,95.327011,81.221397,86.652184,76.032074,128248300
2008-04-01,86.940536,94.774323,81.125282,83.576340,73.333206,99556600
2008-05-01,83.312012,107.582314,80.860947,97.537773,86.005493,133707300
2008-06-01,97.273438,106.308723,83.816643,85.594856,75.474632,113762400
2008-07-01,84.777840,85.690979,74.541061,81.101250,71.512337,155024300
2008-08-01,81.101250,81.101250,73.651947,77.208389,68.079727,86612400
2008-09-01,76.295250,76.896004,50.294788,54.259739,48.101295,160761500
2008-10-01,53.707050,53.707050,21.627001,27.634501,24.497999,298853700
2008-11-01,28.427490,30.205709,16.340401,25.856279,22.921602,211117400
2008-12-01,24.462540,27.538380,17.926380,27.057779,24.318260,220925200
2009-01-01,27.298080,29.893320,18.599220,18.719370,16.824093,239273500
2009-02-01,18.671310,21.386700,13.697100,14.970690,13.454955,220079300
2009-03-01,14.538150,19.704599,11.942910,17.638020,16.194649,551057100
2009-04-01,17.157419,22.564171,16.893089,21.795210,20.011642,333127200
2009-05-01,21.843269,26.384939,20.016991,22.155661,20.342598,289644800
2009-06-01,22.828501,29.749140,22.371929,24.822990,22.859348,386947600
2009-07-01,25.183439,28.547640,21.530880,28.259279,26.023806,344983200
2009-08-01,29.244511,33.353642,28.884060,28.956150,26.665554,312342600
2009-09-01,28.956150,35.660519,27.129869,31.527361,29.101362,252938400
2009-10-01,32.104080,36.309330,28.571671,29.845261,27.548697,360377200
2009-11-01,30.133619,33.161400,28.980181,30.085560,27.770510,197764300
2009-12-01,30.638250,39.673531,30.373920,38.736359,35.840569,278985200
2010-01-01,39.577412,42.292801,29.460779,30.590191,28.303379,422759800
2010-02-01,31.214970,33.401699,30.301830,31.959900,29.570688,287227900
2010-03-01,31.839750,35.612461,31.695570,34.218719,31.730289,330332400
2010-04-01,34.603199,36.405449,32.080051,32.272289,29.925400,330630500
2010-05-01,32.440498,32.536621,25.375681,27.970921,25.936836,352681400
2010-06-01,27.466290,29.124359,24.054029,24.174179,22.469780,248532500
2010-07-01,24.270300,27.442261,23.573429,26.841511,24.949051,230738300
2010-08-01,27.274050,28.307341,23.837761,24.558661,22.827152,194220700
2010-09-01,25.015230,29.436750,24.798960,29.100330,27.118992,223755800
2010-10-01,29.412720,32.416470,28.379431,31.575420,29.425564,262583000
2010-11-01,31.695570,34.050510,30.902580,31.551390,29.403162,190749600
2010-12-01,32.080051,37.558891,31.983931,36.982170,34.542450,191299100
2011-01-01,38.015461,40.178162,37.486801,39.817711,37.190926,350467300
2011-02-01,40.033981,42.485039,38.351879,40.490551,37.819382,207168000
2011-03-01,40.682789,42.653252,37.054260,42.436981,39.706177,210621000
2011-04-01,42.773399,44.383411,38.159641,40.851002,38.222263,235865400
2011-05-01,41.499809,43.157879,38.039490,40.394428,37.795059,233910300
2011-06-01,39.961891,40.058010,34.987679,38.111580,35.721981,179865500
2011-07-01,38.423969,39.889801,34.843498,35.396191,33.176846,180143000
2011-08-01,36.237240,36.405449,26.697330,30.758400,28.829840,296742200
2011-09-01,30.470039,30.950640,22.972679,22.996710,21.600574,242891300
2011-10-01,22.612230,28.018980,20.305349,25.856279,24.286539,404946600
2011-11-01,24.558661,26.481060,21.314610,24.078060,22.616276,257178800
2011-12-01,23.861790,24.294331,20.425501,20.785950,19.580511,238074700
2012-01-01,21.482821,25.808220,21.362671,24.414480,22.998615,267686300
2012-02-01,24.678810,26.240761,24.102091,24.438511,23.021248,190259500
2012-03-01,24.630751,25.832251,22.708349,24.078060,22.748875,226571500
2012-04-01,23.861790,24.606720,22.371929,23.381189,22.090475,227694500
2012-05-01,23.405220,24.054029,19.968929,20.545650,19.411463,205677400
2012-06-01,20.161169,21.627001,19.728630,21.026251,19.930880,176096000
2012-07-01,21.002220,21.771179,19.151911,20.353411,19.293093,205529100
2012-08-01,20.401470,21.578939,19.464300,20.569679,19.498093,136478500
2012-09-01,20.569679,23.861790,20.185200,21.290581,20.253176,161925400
2012-10-01,21.482821,22.444019,20.569679,20.593710,19.590260,164791600
2012-11-01,20.713860,21.194460,19.175940,20.209230,19.291422,129954600
2012-12-01,20.305349,21.410730,20.065050,20.858040,19.910763,124746100
2013-01-01,21.338640,22.419991,21.074310,21.242519,20.277784,171308500
2013-02-01,21.362671,22.516109,20.065050,20.473560,19.543745,158132700
2013-03-01,20.305349,20.906099,19.944901,20.473560,19.609550,120117400
2013-04-01,20.449530,20.521620,18.983700,20.425501,19.563519,197237100
2013-05-01,20.305349,21.338640,19.992960,20.425501,19.563519,143620500
